"region","region_iso3c","Indicator Name","Indicator Code","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_2019","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,5.3,104.8516326,2.8,108.1094144,3460993630205.8,3628908325452.7876,3741659946036.792,"-$112,751,620,584","-3.0134%"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,3.6,108.62629137360001,2.8,111.13647800320001,3460993630205.8,3759549025169.088,3846426424525.8223,"-$86,877,399,357","-2.2587%"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,3.2,112.10233269755521,2.8,114.24829938728962,3460993630205.8,3879854593974.499,3954126364412.5454,"-$74,271,770,438","-1.8783%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,4.1,100,4.9,100,3425808900001.37,3425808900001.37,3425808900001.37,"$0","0.0000%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,-4.5,95.5,5.5,105.5,3425808900001.37,3271647499501.308,3614228389501.4453,"-$342,580,890,000","-9.4787%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,7.6,102.75800000000001,5.9,111.72449999999999,3425808900001.37,3520292709463.4077,3827467864482.0303,"-$307,175,155,019","-8.0255%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,6.8,109.74554400000002,6,118.42797,3425808900001.37,3759672613706.9194,4057115936350.952,"-$297,443,322,644","-7.3314%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,5.8,116.11078555200002,6,125.5336482,3425808900001.37,3977733625301.921,4300542892532.0093,"-$322,809,267,230","-7.5062%"
"South Asia","SAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,6.5,123.65798661288002,6,133.065667092,3425808900001.37,4236286310946.5454,4558575466083.93,"-$322,289,155,137","-7.0700%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,2.6,100,2.4,100,1848609056696.32,1848609056696.32,1848609056696.32,"$0","0.0000%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,-2,98,2.9,102.89999999999999,1848609056696.32,1811636875562.3936,1902218719340.5132,"-$90,581,843,778","-4.7619%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,4.2,102.116,3.1,106.08989999999999,1848609056696.32,1887725624336.0142,1961187499640.0688,"-$73,461,875,304","-3.7458%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,3.7,105.894292,3.3,109.59086669999998,1848609056696.32,1957571472436.4465,2025906687128.191,"-$68,335,214,692","-3.3731%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,3.8,109.918275096,3.3,113.20736530109997,1848609056696.32,2031959188389.0315,2092761607803.4211,"-$60,802,419,414","-2.9054%"
"Sub-Saharan Africa","SSF","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,4,114.31500609984,3.3,116.94320835603627,1848609056696.32,2113237555924.5928,2161822740860.9338,"-$48,585,184,936","-2.2474%"
